iter	Passed	Remaining
752	11279	3699
753	11296	3685
754	11312	3670
755	11324	3654
756	11333	3637
757	11348	3623
758	11369	3609
759	11378	3593
760	11384	3575
761	11396	3559
762	11410	3544
763	11423	3528
764	11438	3513
765	11447	3497
766	11463	3482
767	11473	3465
768	11478	3447
769	11490	3432
770	11496	3414
771	11502	3397
772	11511	3380
773	11536	3368
774	11561	3356
775	11575	3341
776	11585	3325
777	11594	3308
778	11607	3292
779	11616	3276
780	11622	3259
781	11634	3243
782	11652	3229
783	11658	3211
784	11672	3196
785	11683	3180
786	11691	3164
787	11701	3148
788	11718	3133
789	11729	3117
790	11739	3101
791	11749	3085
792	11760	3069
793	11770	3053
794	11779	3037
795	11790	3021
796	11812	3008
797	11829	2994
798	11838	2978
799	11849	2962
800	11857	2945
801	11871	2930
802	11886	2916
803	11897	2900
804	11907	2884
805	11917	2868
806	11929	2853
807	11943	2838
808	11958	2823
809	11965	2806
810	11981	2792
811	11995	2777
812	12008	2762
813	12021	2746
814	12034	2731
815	12043	2715
816	12052	2699
817	12060	2683
818	12071	2667
819	12081	2652
820	12088	2635
821	12097	2619
822	12117	2606
823	12129	2590
824	12143	2575
825	12157	2561
826	12163	2544
827	12172	2528
828	12181	2512
829	12197	2498
830	12212	2483
831	12223	2468
832	12236	2453
833	12250	2438
834	12264	2423
835	12279	2408
836	12288	2393
837	12299	2377
838	12312	2362
839	12336	2349
840	12356	2336
841	12380	2323
842	12392	2307
843	12406	2293
844	12416	2277
845	12426	2262
846	12433	2245
847	12449	2231
848	12463	2216
849	12477	2201
850	12492	2187
851	12507	2172
852	12512	2156
853	12522	2140
854	12531	2125
855	12541	2109
856	12555	2094
857	12561	2078
858	12569	2063
859	12580	2048
860	12589	2032
861	12604	2017
862	12614	2002
863	12623	1987
864	12632	1971
865	12652	1957
866	12668	1943
867	12684	1928
868	12696	1913
869	12709	1899
870	12719	1883
871	12730	1868
872	12739	1853
873	12753	1838
874	12764	1823
875	12777	1808
876	12787	1793
877	12802	1778
878	12817	1764
879	12832	1749
880	12846	1735
881	12859	1720
882	12867	1704
883	12879	1690
884	12895	1675
885	12911	1661
886	12916	1645
887	12923	1629
888	12939	1615
889	12945	1600
890	12958	1585
891	12966	1569
892	12977	1554
893	12990	1540
894	13003	1525
895	13014	1510
896	13023	1495
897	13033	1480
898	13041	1465
899	13052	1450
900	13063	1435
901	13069	1419
902	13079	1404
903	13091	1390
904	13107	1375
905	13120	1361
906	13130	1346
907	13142	1331
908	13153	1316
909	13166	1302
910	13183	1287
911	13189	1272
912	13199	1257
